number;name;MM;mi;sig;epsilon;kAB;eAB;charge;P1T;P1N;P2T;P2N;P3T;P3N;P4T;P4N;P5T;P5N;N1T;N1N;N2T;N2N;N3T;N3N;N4T;N4N;N5T;N5N;dipolo;polarizab;ang_gama;ang_theta;raio_born;zij
1;water_economou_4c;18.015;2.1945;2.229;141.66;0.2039;1804.17;0;H;2;;;;;;;;;O;2;;;;;;;;;1.855;1.61E-40;83.68290819;138.7056269;;4
2;Na+_2sites;22.99;1;3.20128;90.137583;0.002591826;3987.1813;1;Na;2;;;;;;;;;;;;;;;;;;;;3.10E-41;;;6.152637;
3;K+_2sites;39.098;1;3.335635;18.145957;0.00108276;6003.7185;1;K;2;;;;;;;;;;;;;;;;;;;;9.71E-41;;;6.843233;
4;Cl-_2sites;35.453;1;2.111681;60.575216;0.00001263;5757.3421;-1;;;;;;;;;;;Cl;2;;;;;;;;;;3.62E-40;;;7.005192;
5;Br-_2sites;79.904;1;3.377451;85.837902;0.00003593;4612.7641;-1;;;;;;;;;;;Br;2;;;;;;;;;;5.28E-40;;;9.2117;
6;Na+_4sites;22.99;1;2.943377;12.515093;0.060627;2495.37646;1;Na;4;;;;;;;;;;;;;;;;;;;;3.10E-41;;;7.360755;
7;K+_4sites;39.098;1;3.173147;0.018258;0.181293;1996.64351;1;K;4;;;;;;;;;;;;;;;;;;;;9.71E-41;;;8.408154;
8;Cl-_4sites;35.453;1;2.061368;0.092185;0.073286;553.70626;-1;;;;;;;;;;;Cl;4;;;;;;;;;;3.62E-40;;;6.548157;
9;Br-_4sites;79.904;1;3.037921;0;0.648983;194.873844;-1;;;;;;;;;;;Br;4;;;;;;;;;;5.28E-40;;;7.378398;
10;Na+_6sites;22.99;1;1.634664;11.023415;0.100204;2.902913;1;Na;6;;;;;;;;;;;;;;;;;;;;3.10E-41;;;5.976134;
11;K+_6sites;39.098;1;1.972051;0;0.023849;35.470405;1;K;6;;;;;;;;;;;;;;;;;;;;9.71E-41;;;8.015514;
12;Cl-_5sites;35.453;1;3.806324;1.993893;0.387395;714.650989;-1;;;;;;;;;;;Cl;5;;;;;;;;;;3.62E-40;;;5.566922;
13;Br-_5sites;79.904;1;4.278869;13.775568;0.342577;977.154825;-1;;;;;;;;;;;Br;5;;;;;;;;;;5.28E-40;;;6.682665;
14;butanol;74.121;3.7438;3.2251;232.88;0.01007;2218.6;0;H;1;;;;;;;;;O;1;;;;;;;;;;;;;;
15;octane;114.231;3.8176;3.8373;242.78;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;
